Section,Product name,leader_first_name,leader_last_name,phone,mail
Medical Devices (MD),"ASPERO MEDICAL, INC.","
                Mark Rentschler
              ","
                Mark Rentschler
              ",(754) 244-8906,"
                Avish Kosari
              "
Advanced Analytics (AA),APERTUREDATA INC.,"
                Vishakha Gupta
              ","
                Vishakha Gupta
              ",(754) 244-8906,"
                Avish Kosari
              "
Instrumentation and Hardware Systems (IH),"AL VENTURES, LLC","
                Lara Kirkham
              ","
                Lara Kirkham
              ",(754) 244-8906,"
                Avish Kosari
              "
Energy Technologies (EN),AEROMUTABLE CORPORATION,"
                Sandra Manosalvas-Kjono
              ","
                Sandra Manosalvas-Kjono
              ",(754) 244-8906,"
                Avish Kosari
              "
Learning and Cognition Technologies (LC),"AG350, INC.","
                Elaine So
              ","
                Elaine So
              ",(754) 244-8906,"
                Avish Kosari
              "
Internet of Things (I),AKROBOTIX LLC,"
                Sasi Prabhakaran
              ","
                Sasi Prabhakaran
              ",(754) 244-8906,"
                Avish Kosari
              "
Environmental Technologies (ET),2WITECH SOLUTIONS LLC,"
                Qingwu Wang
              ","
                Qingwu Wang
              ",(754) 244-8906,"
                Avish Kosari
              "
Digital Health (DH),Active Therapy Systems LLC,"
                Bennett Gatto
              ","
                Bennett Gatto
              ",(754) 244-8906,"
                Avish Kosari
              "
Human-Computer Interaction (HC),NEUROWIRED,"
                Trevor Moon
              ","
                Trevor Moon
              ",(754) 244-8906,"
                Avish Kosari
              "
Distributed Ledger (DL),"BRILLIANTMD, LLC","
                Sarah Brown
              ","
                Sarah Brown
              ",(754) 244-8906,"
                Avish Kosari
              "
Chemical Technologies (CT),Aerosol Devices Inc.,"
                Patricia Keady
              ","
                Patricia Keady
              ",(754) 244-8906,"
                Avish Kosari
              "
