Product name,leader_first_name,leader_last_name,phone,mail
"HEAT INVERSE, LLC","
                Romy Fain
              ","
                Romy Fain
              ",,
APERTUREDATA INC.,"
                Vishakha Gupta
              ","
                Vishakha Gupta
              ",,
"PRECISION SURFACE SCIENCE, LLC","
                Brandon Strahin
              ","
                Brandon Strahin
              ",,
LEGOV SYSTEMS GROUP LLC,"
                Kelly Rowles
              ","
                Kelly Rowles
              ",,
NUMIX Materials Inc.,"
                Catherine Kollhoff
              ","
                Catherine Kollhoff
              ",,
"Membrion, Inc.","
                Gregory Newbloom
              ","
                Gregory Newbloom
              ",,
LIATRIS INC.,"
                Arthur Yang
              ","
                Arthur Yang
              ",,
PARISI TECHNOLOGIES LLC,"
                Emily Parisi
              ","
                Emily Parisi
              ",,
"H Quest Vanguard, Inc.","
                George Skoptsov
              ","
                George Skoptsov
              ",,
"FROSTDEFENSE ENVIROTECH, INC.","
                Manfredo Seufferheld
              ","
                Manfredo Seufferheld
              ",,
ENVIRONMENTAL PROTECTIVE COATINGS LLC,"
                Md Sarwar
              ","
                Md Sarwar
              ",,
ENKOAT LLC,"
                Aashay Arora
              ","
                Aashay Arora
              ",,
"ELECTRASTEEL, INC.","
                Ai Quoc Pham
              ","
                Ai Quoc Pham
              ",,
"DISCRETE LATTICE INDUSTRIES, LLC","
                benjamin jenett
              ","
                benjamin jenett
              ",,
"CYPRIS MATERIALS, INC.","
                Ryan Pearson
              ","
                Ryan Pearson
              ",,
CLC GLOBAL-USA,"
                BRADFORD WELLS
              ","
                BRADFORD WELLS
              ",,
"SKYGIG, LLC,SKYGIG, LLC","
                Avish Kosari
              ,
                Armin Jam
              ","
                Avish Kosari
              ,
                Armin Jam
              ","[<Selector xpath=""//*[@id='skygig-llc']/div[2]/div[1]/address/div[1]/p[2]/a"" data='<a href=""tel:7347095380"">(734) 709-53...'>, <Selector xpath=""//*[@id='skygig-llc']/div[2]/div[1]/address/div[1]/p[2]/a"" data='<a href=""tel:7349267762"">(734) 926-77...'>]","[<Selector xpath=""//*[@id='skygig-llc']/div[2]/div[1]/address/div[1]/p[1]/a"" data='<a href=""mailto:avish@sky-gig.com"">\n ...'>, <Selector xpath=""//*[@id='skygig-llc']/div[2]/div[1]/address/div[1]/p[1]/a"" data='<a href=""mailto:armin@sky-gig.com"">\n ...'>]"
PI RADIO INC,"
                Aditya Dhananjay
              ","
                Aditya Dhananjay
              ",,
"OWIC TECHNOLOGIES, INC.","
                Alejandro Cortese
              ","
                Alejandro Cortese
              ",,
"EPIImaging, LLC","
                Henry Baker
              ","
                Henry Baker
              ",,
"OptiPulse, Inc","
                John Joseph
              ","
                John Joseph
              ",,
"CURATED NETWORKS, INC","
                Bradley Smith
              ","
                Bradley Smith
              ",,
Birkeland Current LLC,"
                John Fitch
              ","
                John Fitch
              ",,
"ZIN TECHNOLOGIES, INC","
                Dean Schrage
              ","
                Dean Schrage
              ",,
XONA SPACE SYSTEMS INC.,"
                Brian Manning
              ","
                Brian Manning
              ",,
WildSpark Technologies,"
                Andrew Dickens
              ","
                Andrew Dickens
              ",,
"US AIR TECH, LLC","
                Patrick Gbele
              ","
                Patrick Gbele
              ",,
"UPSHOT VENTURES, LLC","
                Ryan Rollon
              ","
                Ryan Rollon
              ",,
"Masten Space Systems, Inc.","
                Reuben Garcia
              ","
                Reuben Garcia
              ",,
ORBITAL AI LLC,"
                Tracie Conn
              ","
                Tracie Conn
              ",,
"MAVERICK SPACE SYSTEMS, INC.","
                David Hobbs
              ","
                David Hobbs
              ",,
LONG ROAD ENTERPRISES,"
                R Roopnarine
              ","
                R Roopnarine
              ",,
"General Engineering & Research, L.L.C.","
                Robin Ihnfeldt
              ","
                Robin Ihnfeldt
              ",,
"G-SPACE, INC","
                Ioana Cozmuta
              ","
                Ioana Cozmuta
              ",,
"BLUE CRANIUM, LLC","
                Robert Corrigan
              ","
                Robert Corrigan
              ",,
WYMO LLC,"
                Wayne Yamamoto
              ","
                Wayne Yamamoto
              ",,
TERECIRCUITS CORPORATION,"
                Jayna Sheats
              ","
                Jayna Sheats
              ",,
SUPERMEM INC.,"
                Yu Lu
              ","
                Yu Lu
              ",,
Solsona Enterprise LLC,"
                Chong Lee
              ","
                Chong Lee
              ",,
LuxNour Technologies Inc,"
                Makarem HUSSEIN
              ","
                Makarem HUSSEIN
              ",,
