Description,Vision_standard,Dynamic_range,Frame_rate,Video_outpy_format,url
"1 inch Sony CMOS Pregius sensor (IMX267),4,096,×,2,160, (,8.8, ,MP,),, up to ,35, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","35, ,fps","1 inch Sony CMOS Pregius sensor (IMX267),4,096,×,2,160, (,8.8, ,MP,),, up to ,35, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.1-monochrome/dmk38ux267/
"1.1 inch Sony CMOS Pregius sensor (IMX253),4,096,×,3,000, (,12.3, ,MP,),, up to ,30, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","30, ,fps","1.1 inch Sony CMOS Pregius sensor (IMX253),4,096,×,3,000, (,12.3, ,MP,),, up to ,30, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.1-monochrome/dmk38ux253/
"1.1 inch Sony CMOS Pregius sensor (IMX304),4,096,×,3,000, (,12.3, ,MP,),, up to ,26, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","26, ,fps","1.1 inch Sony CMOS Pregius sensor (IMX304),4,096,×,3,000, (,12.3, ,MP,),, up to ,26, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.1-monochrome/dmk38ux304/
"1 inch Sony CMOS Pregius sensor (IMX255),4,096,×,2,160, (,8.8, ,MP,),, up to ,42, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","42, ,fps","1 inch Sony CMOS Pregius sensor (IMX255),4,096,×,2,160, (,8.8, ,MP,),, up to ,42, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.1-monochrome/dmk38ux255/
"1,/,2.9, inch Sony CMOS Pregius sensor (IMX287),720,×,540, (,0.4, ,MP,),, up to ,539, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","539, ,fps","1,/,2.9, inch Sony CMOS Pregius sensor (IMX287),720,×,540, (,0.4, ,MP,),, up to ,539, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.0-monochrome/dmk33ux287/
"1,/,1.8, inch Sony CMOS Pregius sensor (IMX265),2,048,×,1,536, (,3.1, ,MP,),, up to ,60, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","60, ,fps","1,/,1.8, inch Sony CMOS Pregius sensor (IMX265),2,048,×,1,536, (,3.1, ,MP,),, up to ,60, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.0-monochrome/dmk33ux265/
"1,/,1.2, inch Sony CMOS Pregius sensor (IMX249),1,920,×,1,200, (,2.3, ,MP,),, up to ,48, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","48, ,fps","1,/,1.2, inch Sony CMOS Pregius sensor (IMX249),1,920,×,1,200, (,2.3, ,MP,),, up to ,48, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.0-monochrome/dmk33ux249/
"1,/,1.2, inch Sony CMOS Pregius sensor (IMX174),1,920,×,1,200, (,2.3, ,MP,),, up to ,162, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","162, ,fps","1,/,1.2, inch Sony CMOS Pregius sensor (IMX174),1,920,×,1,200, (,2.3, ,MP,),, up to ,162, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.0-monochrome/dmk33ux174/
"2,/,3, inch ON Semiconductor CMOS Python sensor (PYTHON 2000),1,920,×,1,200, (,2.3, ,MP,),, up to ,129, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","10, ,bit","129, ,fps","2,/,3, inch ON Semiconductor CMOS Python sensor (PYTHON 2000),1,920,×,1,200, (,2.3, ,MP,),, up to ,129, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.0-monochrome/dmk33up2000/
"1 inch Sony CMOS Pregius sensor (IMX267),4,096,×,2,160, (,8.8, ,MP,),, up to ,35, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included","<img src=""https://s1.www.theimagingsource.com/application-1.6270.38422/img/logos/usb3_vision.png"" width=""103"" height=""50"" alt=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."" title=""USB3 Vision is the interface standard for implementing the USB 3.0 interface in industrial machine vision."">","12, ,bit","35, ,fps","1 inch Sony CMOS Pregius sensor (IMX267),4,096,×,2,160, (,8.8, ,MP,),, up to ,35, ,fps,Global shutter,Trigger and I/O inputs,Manufactured by The Imaging Source,Windows, and ,Linux, software included",https://www.theimagingsource.com/products/industrial-cameras/usb-3.1-color/dfk38ux267/
