Company_name,Company_website,Practitioner_names,url,Company_address
"
	Kaiser Permanente",,"Andrew Lawson, DO ",https://concussioncareproviders.com/listing/kaiser-permanente-5/,"
	6002 N Lidgerwood St, Spokane, WA 99208, United States"
"
	CareNow Urgent Care",,"Huyen Vu, PA-C ",https://concussioncareproviders.com/listing/carenow-urgent-care-2/,"
	CareNow Urgent Care - Cedar Park, 5001 183A, Suite R100, Cedar Park, TX 78613, United States"
"
	CareNow Urgent Care",,"William Noble, MD ",https://concussioncareproviders.com/listing/carenow-urgent-care-3/,"
	5001 183A, Cedar Park, Suite R100, TX, USA"
"
	CareNow Urgent Care",http://www.carenow.com,"Bradley Rudge, Center Medical Director ",https://concussioncareproviders.com/listing/carenow-urgent-care-6/,"
	2017 Mallory Lane, Franklin, TN 37067, United States"
"
	Monroe Pediatrics, Inc",https://monroepediatrics.net,"Andrea vVerburg Hill, MD ",https://concussioncareproviders.com/listing/monroe-pediatrics-inc/,"
	517 Great Oaks Dr, St. 103, Monroe, Georgia 30655, United States"
"
	Innovative Physical Therapy",https://innovativeptcenters.com,"Esteban schabelman, Chief Medical Officer ",https://concussioncareproviders.com/listing/innovative-physical-therapy/,"
	100 Walter Ward Blvd, Abingdon, MD 21009, United States"
"
	Illinois State University Student Health Services",,"Kathleen Eichinger, Medical Director/Physician (MD) ",https://concussioncareproviders.com/listing/illinois-state-university-student-health-services/,"
	201 North University Street, Normal, IL, USA"
"
	UPMC Pinnacle",,"Jennifer Cromer, Clinical Neuropsychologist ",https://concussioncareproviders.com/listing/upmc-pinnacle/,"
	4310 Londonderry Road, Harrisburg, PA 17109, United States"
"
	Atlantic Sports Health",,"Peter Tumminelli, Dr. ",https://concussioncareproviders.com/listing/atlantic-sports-health/,"
	100 Madison Avenue, Morristown, NJ, USA"
"
	CareNow Urgent Care",,"Zachary Cerini, MD ",https://concussioncareproviders.com/listing/carenow-urgent-care-5/,"
	4810 Gattis School Rd, Suite 100, Hutto, TX 78634, United States"
"
	Rainbow Pediatric Center",,"Adam Hotz, MD/DO ",https://concussioncareproviders.com/listing/rainbow-pediatric-center-2/,"
	4788 Hodges Blvd, Jacksonville, Florida 32224, United States"
"
	BHA",,"Damon Mason, Clinical Psychologist ",https://concussioncareproviders.com/listing/bha/,"
	17 Canon Street, Shrewsbury, Shropshire SY2 5HG, United Kingdom"
"
	CareNow Urgent Care",,"Niva Dhakhwa, Family Nurse Practitioner ",https://concussioncareproviders.com/listing/carenow-urgent-care-7/,"
	12840 W I-10, #101, San Antonio, Texas 78249, United States"
"
	National Dizzy & Balance Center",https://www.nationaldizzyandbalancecenter.com/,"Adam Shapin, Staff Physician ",https://concussioncareproviders.com/listing/national-dizzy-balance-center-2/,"
	1630 101st Ave NE, Suite 160, Blaine, MN 55449, United States"
"
	Fairfield Memorial Hospital",,"Kory Blank, Orthopedic Surgeon ",https://concussioncareproviders.com/listing/fairfield-memorial-hospital-3/,"
	303 Northwest 11th Street, Fairfield, IL 62837, United States"
