Company_name,Company_website,Practitioner_names,Company_address
"
	Bridge2PT",https://bridge2pt.com/," Jeffrey Kunze, Physical Therapist/CEO ","
	6862 Ivy Creek Way Moorpark CA 93021 United States"
"
	Access Physical Therapy and Wellness",," Amr Elbegrmi, Director ","
	341 Central Park Avenue #1-164 Scarsdale New York 110583 United States"
"
	Belmont University",,"Taylor Carman, PT ","
	1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	PT2Excel",,"Kevin Reusch, PT ","
	303 Creek St SE, Yelm, WA 98597, United States"
"
	Oceanfront Therapy Center",,"Tish Kennedy Long, PT ","
	984 Laskin Road, Virginia Beach, VA, USA"
"
	Oceanfront Physical Therapy Solutions",,"Tish Kennedy Long, PT ","
	984 B Laskin Road, Virginia Beach, VA, USA"
"
	Monument health",,"Kevin Sobolik, PT ","
	1220 Montgomery Street, Custer, SD 57730, United States"
"
	Pacific Pro Physical Therapy and Sports Medicine",," Austin Murrow, OTR/L ","
	1561 E Ontario Ave, Ste 101, Corona, California 92881, United States"
"
	Orlando Health",,"Marissa Conrad, PT ","
	100 West Gore Street, Ste. 104, Orlando, FL 32806, United States"
,," Samy Hamdan, ",
"
	Pacificpro Physical Therapy",,"Martin Cruz, PT ","
	1561 E Ontario Ave, STE 101, Corona, CA 92881, United States"
"
	ApexNetwork Physical Therapy",,"Meghan Guler, PT ","
	2151 Arizona 92, Unit 106, Sierra Vista, AZ 85635, United States"
"
	Pro-PT",,"Amy Moffet, PT ","
	1653 N Schnoor Ave, Suite 107, Madera, CA 93637, United States"
"
	St. Anthony Outpatient Therapy",,"Haley Hutton, PT ","
	Routt Street, Lakewood, CO 80228, United States"
"
	Belmont University",,"Martha Kosten, PT ","
	Belmont University, 1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	Orthopedic Institute",,"Shelly Price, PT/ATC ","
	810 East 23rd Street, Sioux Falls, SD, USA"
"
	Pro-PT Madera",https://pro-pt.net/,"Paul Martines, PT ","
	1653 North Schnoor Avenue, Suite 107, Madera, CA 93637, United States"
"
	BreakThrough Physical Therapy",,"Stacey Fletcher, PT ","
	3150 Rogers Road, Wake Forest, Suite 206, NC 27587, United States"
"
	Precision Physical Therapy",,"Heather Hamaguchi, PT ","
	211 Tank Farm Road, Suite A, San Luis Obispo, CA 93401, United States"
"
	Monument Health",,"Kevin Sobolik, PT ","
	1220 Montgomery Street, Custer, SD, USA"
"
	Synergy Injury Care",,"ASHLEY JEFFERSON, PT ","
	825 S 6th St, Louisville, KY 40203, United States"
"
	Belmont University",,"Madeline Curran, Other ","
	1900 Belmont Blvd, Nashville, Tennessee 37212, United States"
"
	Littleton Regional Hospital",https://littletonhealthcare.org/,"Derek Roberts, PT ","
	600 Saint Johnsbury Road, Littleton, NH 03561, United States"
"
	Belmont University",,"katyann grochmal, PT ","
	1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	Belmont University",https://www.belmont.edu/,"Michael Berra, PT ","
	1900 Belmont Blvd, Nashville, Tennessee 37212, United States"
