Company_name,Company_website,Practitioner_names,Company_address
,," Sarah Falk, ",
"
	Belmont University School of Physical Therapy",,"Maria Ruggery, ATC/LAT/CAT(C) ","
	1900 Belmont Boulevard, Nashville, TN, USA"
"
	Absolute Physiotherapy",http://www.absolutephysiotherapy.com.au, Dr. David Munro ,"
	131 High Street, Prahran VIC 3181, Australia"
"
	Sports Medicine NI",https://sportsmedicineni.com," Gareth Robinson, Physiotherapist ","
	Unit 3 40 Montgomery Road Belfast N Ireland BT6 9HL United Kingdom"
"
	Childserve",,"Katie Purcell, PT ","
	5406 Merle Hay Rd, Johnston, IA 50131, United States"
"
	Johnson Physical Therapy and Rehab",https://johnsonptco.com/,"Thomas Ramage, PT ","
	1280 N Mildred Rd, Suite 2, Cortez, CO 81321, United States"
"
	Childserve",,"Katie Purcell, PT ","
	5406 Merle Hay Rd, Johnston, IA 50131, United States"
"
	Pivot",,"Deidra Broderick, PT ","
	31 Magothy Beach Rd, Pasadena, MD 21122, United States"
"
	INOVA Mount Vernon Hospital",,"Danielle Ward, PT ","
	2501 Parkers Lane, Alexandria, VA 22306, United States"
"
	Avera Holy Family Hosptial",,"Molly Jo Anderson, PT ","
	826 North 8th Street, Estherville, IA 51334, United States"
"
	Avera Holy Family Physical Therapy",,"Erin Verschoor, PT ","
	826 N 8th St, Estherville, Iowa 51334, United States"
"
	Belmont University School of Physical Therapy",,"Maria Ruggery, ATC/LAT/CAT(C) ","
	1900 Belmont Boulevard, Nashville, TN 37212, United States"
"
	Movement for Life Physical Therapy",,"Nicholas Watson, PT ","
	805 Aerovista Pl, Ste 104, San Luis Obispo, CA 93401, United States"
"
	Childserve",https://www.childserve.org/,"Abby Smith, PT ","
	5406 Merle Hay Rd, Johnston, IA 50131, United States"
"
	Mass Sport and Spine",,"Briana Crowley, PT ","
	940 High St, Westwood, MA 02090, United States"
"
	Providence St Mary’s",,"Ian Hockett, PT ","
	1111 South 2nd Avenue, Walla Walla, WA, USA"
,," Julia Anderson, ",
"
	Reform Physical Therapy",,"Delaney Gaetano, PT ","
	439 Lewiston Road, Topsham, ME, United States"
"
	Franciscan Alliance",,"Kurtis Bonner, PT ","
	1710 Lafayette Avenue, Crawfordsville, IN 47933, United States"
"
	ChildServe",," Breanne Bebb, OT ","
	2350 Oakdale Blvd, Coralville, Iowa 52241, United States"
"
	Reform Physical Therapy",,"Nicholas Pare, PT ","
	430 Lewiston Road, Topsham, ME 04086, United States"
,," Sarah Falk, ",
"
	Access Physical Therapy",,"Lissette Schum, PT ","
	855 Franklin Avenue, Thornwood, NY 10594, United States"
"
	Lehigh Valley Health Network",," Maggie Campano, OTR/L ","
	1431 Nursery Street, Fogelsville, PA 18051, United States"
"
	Drayer Physical Therapy",,"Sydney Lee, PT ","
	2900 Plank Rd, Suite 2, Altoona, PA 16601, United States"
Company_name,Company_website,Practitioner_names,Company_address
"
	Peachtree Spine Physicians",,"Anthony Suarez, PT ","
	5555 Peachtree Dunwoody Rd NE, Suite G-65, Atlanta, GA 30342, United States"
"
	North Kansas City Hospital",,"Andrew Bick, PT ","
	9501 N Oak Trafficway, Ste 100, Kansas City, MO 64155, United States"
"
	Peachtree Spine and Sport Physicians",https://www.peachtreespine.com/,"Kirsten Wages, Other ","
	5555 Peachtree Dunwoody Road NE atlanta GA 30342 United States"
"
	ELITE Physical Therapy and Performance",,"Madalyn Williams, PT ","
	3896 North Schreiber Way, Coeur d'Alene, ID 83815, United States"
"
	Peachtree Spine and Sport Physicians",https://www.peachtreespine.com/,"Kirsten Wages, Other ","
	5555 Peachtree Dunwoody Road Northeast, Atlanta, GA 30342, United States"
,," Casey Cadeau, ",
"
	Williams Integracare",,"Jennifer Garding, PT ","
	100 2nd Street South, Sartell, MN 56377, United States"
"
	Peachtree Spine Physicians",,"hyneef banks, PT ","
	771 Virginia Ave, Atlanta, GA 30354, United States"
"
	Access Physical Therapy and Wellness",," Amr Elbegrmi, Director ","
	341 Central Park Avenue #1-164 Scarsdale New York 110583 United States"
"
	Madison Regional Health System",," Charity Olson, OT ","
	323 10th St SW, Madison, SD 57042, United States"
