Company_name,Company_website,Practitioner_names,Company_address
"
	Virginia Spine Institute",https://www.spinemd.com/index.php,"Sommer Ebdlahad, MD                ,CIC,Earl Laurence Grine, PT                    ,ITPT","
	11800 Sunrise Valley Drive, #600 Reston, VA, USA"
"
	Physical Therapy at The Orthopedic Group",http://www.theorthopedicgroup.com/pt/locations/uniontown-office/,"Colony Hopkins                ,ITPT,Shane Hennessy, DO                    ,CIC,Pediatric","
	104 Delaware Ave Suite 103, Uniontown, PA 15401, United States"
"
	Good Shepherd Rehabilitation",http://www.goodshepherdrehab.org,"Elona Moci, PH.D.                ,CIC,Alyssa Hauck, PT                    ,ITPT,Nicole Yenser, PT                ","
	850 South 5th Street Allentown, PA 18103, United States"
"
	The Center for Sports Medicine",http://www.centersportsmedicinept.com/,"Brian Harrington, MD                ,CIC,Melissa Baumgartner                    ,ITPT","
	1169 Hilltop Parkway, #202B, Steamboat Springs, CO 80487, United States"
"
	Children’s Regional Hospital at Cooper",http://www.cooperhealth.org/,"David B. Gealt DO, FAOASM                ,CIC","
	Three Cooper Plaza #200, Camden, NJ, 08103, United States"
"
	ChildServe",https://www.childserve.org/locations/,"Hannah Jepson Slaughter, ARNP                ,CIC,Pediatric,Alesha Kadolph, OTR/L                    ,ITOT,Amanda Willems, OTD, OTR/L                ,Ashley Jobe, OTR/L, CBIS, ITOT                ,Laura Van Dusseldorp, PT, DPT, CBIS, ITPT                ,Jill Mullen, PT, DPT, CBIS, ITPT","
	5406 Merle Hay Road, Johnston, IA 50131, United States"
"
	Dartmouth Hitchcock Medical Center",https://www.dartmouth-hitchcock.org,"Jonathan Lichtenstein, PsyD.,MBA                ,CIC,Danette Krushel, DPT                    ,ITPT","
	1 Medical Center Drive, Lebanon, NH 03756"
"
	Penn Highlands Concussion Clinic",https://www.phhealthcare.org/service/concussion-clinic,"Matthew Bridgman, Ph.D., ABPP-CN, CIC                ,CIC,Pediatric,George Fatula, DPT, ITPT                    ,ITPT,Patrick Dennison, DPT, ITPT                ","
	145 Hospital Ave #312, DuBois, PA 15801, United States"
"
	Access Sports Medicine & Orthopaedics",https://www.accesssportsmed.com/our-locations/exeter-nh-orthopaedic-clinic/,"Kevin Heaton, DO                ,CIC,Pediatric","
	1 Hampton Rd, Exeter, NH 03833, USA"
"
	Plymouth Bay Orthopedics and Sports Therapy",https://pbortho.com/,"Brett Teran, MD, DO                ,CIC,Pediatric,Madeline Wunder, PT, DPT                    ,Pediatric,ITPT","
	95 Tremont St. Suite 20 Duxbury, MA 02332"
