Company_name,Company_website,Practitioner_names,Company_address
"
	Virginia Spine Institute",https://www.spinemd.com/index.php,"Sommer Ebdlahad, MD ","
	11800 Sunrise Valley Drive, #600 Reston, VA, USA"
"
	Children’s Mercy Hospital",https://www.childrensmercy.org/,"Greg Canty, MD ","
	2401 Gillham Rd, Kansas City, MO 64108, United States"
"
	Salina Regional Health Center",https://www.srhc.com/,"Britton Zuccarelli, MD ","
	520 S. Santa Fe Salina, KS 67401, United States"
"
	Roane General Hospital",https://www.roanegeneralhospital.com/,"Jeffrey Tanner, PT ","
	200 Hospital Dr, Spencer, WV 25276, United States"
"
	Activcore",https://activcore.com,"Kelsy Rayl, PT ","
	4284 Trail Boss Dr, Suite 120, Castle Rock, CO 80104, United States"
"
	Billings Clinic",," Melinda Cervantes, OTR/L ","
	2675 Central Ave, Billings, MT 59102, United States"
"
	Frost Therapy Services",," Melissa Frost, MS, OTR/L ","
	403 Coldspring Run, Newark, DE 19711, United States"
"
	Southern Orthopaedic Surgeons",https://www.sos-ortho.com/,"Derek Woessner, MD ","
	454 Taylor Rd, Montgomery, AL 36117, United States"
"
	Concussion Institute at Gwinnett Medical Center",https://www.gwinnettmedicalcenter.org/sports-medicine/concussion-institute/,"Adam Shunk, PhD ","
	3855 Pleasant Hill Road #130, Duluth, GA 30096, USA"
"
	Indiana Total Therapy",http://indianatotaltherapy.com/,"Eric Bohn, DO CAQSM ","
	2010 Shelly Drive, Indiana, Pennsylvania, 15107"
"
	Penn Highlands Concussion Clinic",https://www.phhealthcare.org/service/concussion-clinic,"Matthew Bridgman, Ph.D., ABPP-CN, CIC ","
	145 Hospital Ave #312, DuBois, PA 15801, United States"
"
	The Center for Sports Medicine",http://www.centersportsmedicinept.com/,"Brian Harrington, MD ","
	1169 Hilltop Parkway, #202B, Steamboat Springs, CO 80487, United States"
