Model,Reference_number,Collection,Color_Case,Color_Strap,Description_Gender,Case_Diameter_Case_material,Material_Strap,Description_Movement,caliber_Time_display/function,Type_Clasp,Water_Resistant,Dial_description,Link_product
Takeoff Auto Chrono – Limited Edition,H76776733,Khaki Aviation,Black,Black,Men,Stainless steel,Calf leather,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),"A special edition to celebrate the world record tunnel flight by Italian pilot Dario Costa. Powered by our H-31 automatic chronograph movement, the 46mm timepiece features a unique function designed to meet the needs of pilots: a removable case you can attach to a fixed dash mount. As a nod to the two tunnels Dario flew through at record speed, both sub dials feature yellow rings, and the 12 o’clock counter is adapted to a 15-minute countdown. Super-LumiNova® is only applied to the seconds hand and indicators through 43, commemorating Dario’s 43-second flight. Limited to 100 pieces, a reference to the maximum possible flying height (100cm) in both tunnels, each Takeoff comes with special packaging and a dash mount.",https://www.hamiltonwatch.com/en-int/h76776733-khaki-aviation-takeoff-auto-chrono.html
Mechanical 42mm,H69529113,Khaki Field,White,Silver,,Stainless steel,Stainless steel,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69529113-khaki-field-mechanical.html
Mechanical 42mm,H69529933,Khaki Field,Black,Green,,Stainless steel,Nato,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69529933-khaki-field-mechanical.html
Mechanical 42mm,H69529913,Khaki Field,White,Green,,Stainless steel,Nato,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69529913-khaki-field-mechanical.html
Mechanical Bronze,H69459530,Khaki Field,Black,Brown,,Bronze and Titanium,Nato,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69459530-khaki-field-mechanical-bronze.html
Converter Air Zermatt Limited Edition,H76706730,Khaki Aviation,Black,Black,,Stainless steel,Calf leather,"The H-21-Si is an automatic chronograph movement featuring a state-of-the-art balance spring made from the anti-magnetic material silicon for enhanced resistance to extreme atmospheric conditions. With an extended 60-hour power reserve, this powerful caliber reliably keeps and measures time via two or three sub dials at 6, 9 and/or 12 o’clock, and start/stop and reset pushers on the side.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76706730-khaki-aviation-converter-air-zermatt.html
Mechanical 42mm,H69529133,Khaki Field,Black,Silver,,Stainless steel,Stainless steel,"The H-50 is an exclusive caliber specifically developed for our handwinding watches. The H-50 is available with or without a date function and has an extended power reserve of up to 80 hours, ensuring maximum reliability even when it is not wound for a few days.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h69529133-khaki-field-mechanical.html
Titanium Far Cry® 6 Limited Edition,H70645533,Khaki Field,Black,Brown,,Titanium,Nato,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h70645533-khaki-field-titanium-far-cry-6.html
Auto N. Hoolywood Limited Edition,H89325430,Khaki Field,Black,Black,,Stainless steel,Nato,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h89325430-khaki-field-auto.html
Auto Chrono,H71706830,Khaki Field,Black,Green,,Stainless steel,Calf leather,"The H-21 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h71706830-khaki-field-auto-chrono.html
S Quartz,H24251310,Ventura,White,White,,Stainless steel,Rubber,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24251310-ventura-s-quartz.html
