Title,U_r_l,Discount_price,original_price
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-21145.html,$4.97,$6.02 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,$1.18,$37.91 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Black,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-black-p-12623.html,$1.18,$49.99 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-16656.html,$1.18,$37.91 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Black Silver,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-black-silver-p-20335.html,$42.32,$80.37 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Blue,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-blue-p-16658.html,$7.71,$37.91 
4 x Authentic Uwell Crown 5 FeCrAl UN2 Single Meshed Coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-single-meshed-coil-023ohm-p-20280.html,$10.04,$15.17 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-18906.html,$10.99,$12.93 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-10250.html,$1.18,$32.82 
4 x Authentic Uwell Caliburn G UN2 Meshed-H 0.8ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-un2-meshed-h-08ohm-coil-p-19943.html,$8.44,$14.81 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-18855.html,$10.73,$12.41 
Authentic VOOPOO DRAG 3 177W MOD - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-smoky-grey-p-20565.html,$36.01,$37.22 
Authentic VOOPOO DRAG 3 177W MOD - Classic,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-classic-p-20569.html,$36.01,$37.53 
5 x Authentic Geekvape Zeus Sub-Ohm Mesh Coil Z0.2 0.2ohm Ka1,https://www.cigabuy.com/5-x-authentic-geekvape-zeus-sub-ohm-mesh-coil-z02-02ohm-ka1-p-15780.html,$10.61,$12.41 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Grey Black,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-grey-black-p-20336.html,$44.36,$80.37 
4 x Authentic Uwell Crown 5 FeCrAl UN2-2 Dual Meshed Coil 0.3ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-2-dual-meshed-coil-03ohm-p-20281.html,$11.96,$19.22 
