Title,Name_of_the_company,Request_Category,Description,Estimated_Value,Supplier_info,Link,Keyword
Information Technology Commercial Framework (ITCF), National Highways , IT consultancy ,"The purpose of this Contract Notice is to inform the market of National Highways' plans to launch a technology framework that will be called the Information Technology Commercial Framework (ITCF).

The Operational Technology Commercial Framework (OTCF) was launched on the 9th July 2021 and it is hoped that the ITCF will be the second vehicle to support the delivery of National Highway’s RIS2 technology pipeline and to meet the strategic aims of National Highways.",1B, IT consultancy ,https://bidstats.uk//tenders/2021/W37/759038370,IoT
Advocacy Services (High Court Extensions - England & Wales), General Medical Council , legal services ,"Advocacy Services are required in relation to HCE application hearings in England and Wales, including those under the weekly fixed listing date system and any exceptional cases falling outside this system.This Tender applies to HCE applications made in England and Wales only and does not include Advocacy Services in relation to appearing before the IOT, MPT and/or defending challenges issued in the High Court under the provisions of S41A(10) of the Medical Act 1983 against Interim Orders.",___, legal services ,https://bidstats.uk//tenders/2021/W20/751108391,IoT
IoT Centre at Reading College, Craig Pullen Consulting , building construction work ,"Milton Keynes College is seeking a tender for an internal refurbishment project to create an IoT centre on the main campus at Reading College in Kings Road in Reading. The project is fully funded by the DfE. The contracting body is Milton Keynes College, but the campus is owned and operated by Activate Learning.

Works involve the full refurbishment of six existing teaching rooms [Third Floor of the East Wing]. The rooms will be remodelled to create modern; high quality flexible Higher Education IT teaching spaces.

Tender packs can be obtained from Craig Pullen at",658K, building construction work ,https://bidstats.uk//tenders/2021/W18/750322119,IoT
"Design, supply, delivery and installation of a Cyber-Physical Manufacturing Rig for the Greater Birmingham & Solihull Institute of Technology (GBS-IoT)", Aston University ," measuring and monitoring equipment , industrial machinery ","The procurement of a suitably qualified, skilled and experienced supplier that will design and deliver (where ""delivery"" includes the delivery, off-loading, installation, commissioning, acceptance testing and hand over of) a cyber physical manufacturing rig and support services solution for the Greater Birmingham & Solihull Institute of Technology (GBS-IoT).",2M," measuring and monitoring equipment , industrial machinery ",https://bidstats.uk//tenders/2021/W17/749732208,IoT
486 - Cyber Physical Manufacturing Rig, Aston University ," scientific equipment , industrial machinery ","The procurement of a suitably qualified, skilled and experienced supplier that will design and deliver (where ""delivery"" includes the delivery, off-loading, installation, commissioning, acceptance testing and hand over of) a cyber physical manufacturing rig and support services solution for the Greater Birmingham & Solihull Institute of Technology (GBS-IoT).",2M," scientific equipment , industrial machinery ",https://bidstats.uk//tenders/2021/W17/749732291,IoT
Fly Tipping IoT Programme, London Borough of Sutton ," communications equipment , transport equipment , IT services ","The South London Partnership is working to deliver an exciting and innovative ""Internet of Things"" (IoT) project across its five member councils; Croydon, Kingston, Merton, Richmond and Sutton. This initiative is being funded by the Strategic Investment Pot (SIP) as part of the London Councils' Business Rates Retention scheme, which is administered by the City of London Corporation.

This project will enable the London Borough of Sutton & Kingston Landlord Services to gain a more accurate insight into when fly tipping is occurring, in what volume and by whom.

In support of Sutton & Kingstons strategic visions to make their boroughs a place that more people want to work / live and spend time in. The need to prevent fly tipping disrupting travel, residents and businesses is a key part to underpinning the generation of a positive impression for the borough.

A real time insight into the hotspots and incidents will empower the Council & Landlord Services Officers. It will help them move away from having to react to events or using educated guesses to knowing actually what is happening in its known problem areas.

The objective of this use case is to deliver a pilot programme that allows the SLP to test IoT Fly Tipping detection solutions and refine the scope and technical details before potentially rolling out to other problem locations across Sutton, Kingston and the other SLP partner boroughs. Ultimately the goal is to reduce dramatically the number of fly tipping instances in the two boroughs initially participating, to therefore avoid the menace fly tipping brings and with associated costs to the Council & Landlord services plus the wider economy.",250K," communications equipment , transport equipment , IT services ",https://bidstats.uk//tenders/2021/W14/748355997,IoT
486 - Cyber Physical Manufacturing Rig, Aston University ," scientific equipment , industrial machinery ","The procurement of a suitably qualified, skilled and experienced supplier that will design and deliver (where ""delivery"" includes the delivery, off-loading, installation, commissioning, acceptance testing and hand over of) a cyber physical manufacturing rig and support services solution for the Greater Birmingham & Solihull Institute of Technology (GBS-IoT).",2M," scientific equipment , industrial machinery ",https://bidstats.uk//tenders/2021/W17/749732298,IoT
Internet of Things, Scottish Government ," IT services , electronic equipment , computer equipment , software and information systems , network equipment , telecoms services , information systems , telecoms equipment , technical analysis services , security equipment , consultancy services , software development services , data services , IT consultancy ",The Authority is extending its collaborative Dynamic Purchasing System (DPS) for Internet of Things (IoT) for a further 18 months until 3 March 2023.,___," IT services , electronic equipment , computer equipment , software and information systems , network equipment , telecoms services , information systems , telecoms equipment , technical analysis services , security equipment , consultancy services , software development services , data services , IT consultancy ",https://bidstats.uk//tenders/2021/W26/753860695,IoT
CT0831 IP Video Surveillance System, City of Edinburgh Council ," television services , telecoms equipment , audio-visual equipment , network equipment ",Upgrade of the City of Edinburgh Council's IP video surveillance system.,4M," television services , telecoms equipment , audio-visual equipment , network equipment ",https://bidstats.uk//tenders/2021/W14/748290059,IoT
Advocacy Services (High Court Extensions - England & Wales), General Medical Council , legal services ,"Advocacy Services are required in relation to HCE application hearings in England and Wales, including those under the weekly fixed listing date system and any exceptional cases falling outside this system.

This Tender applies to HCE applications made in England and Wales only and does not include Advocacy Services in relation to appearing before the IOT, MPT and/or defending challenges issued in the High Court under the provisions of S41A(10) of the Medical Act 1983 against Interim Orders.",___, legal services ,https://bidstats.uk//tenders/2021/W20/751108295,IoT
